11,"Arugula","CO","All","KY","All","NM","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","OH","May","Jun","Jul","Aug","Sep","TN","All",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Basil","CO","Jun","Jul","Aug","Sep","KY","Jun","Jul","Aug","Sep","MN","Aug","Sep","NM","All","OH","Jul","Aug","Sep","TN","May","Jun","Jul","Aug","Sep","Oct","Nov",,,,,,,,,,,,,,,,,,,,,,,
17,"Chard","AR","Mar","Apr","May","Sep","Oct","Nov","CO","Jul","Aug","Sep","Oct","KY","Jun","Jul","Aug","Sep","Oct","MN","Jul","Aug","Sep","NM","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","OH","May","Jun","Jul","Aug","Sep","TN","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
19,"Fava Beans","AR","Feb","Mar","Apr","May","CO","May","OH","May","TX","Apr","May","Jun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Green Beans","AR","May","Jun","Jul","Aug","Sep","Nov","CO","Jul","Aug","Sep","KY","Aug","Sep","MN","Jul","Aug","Sep","NM","Jun","Jul","Aug","Sep","Oct","Nov","OH","Jul","Aug","Sep","TN","Jun","Jul","Aug","Sep",,,,,,,,,,,,,,,,
7,"Lavender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Mint","AR","All","CO","May","Jun","Jul","Aug","Sep","Oct","KY","Jun","Jul","Aug","Sep","MN","Apr","May","Jun","Jul","Aug","Sep","Oct","NM","All","TN","All",,,,,,,,,,,,,,,,,,,,,,,,
23,"Parsley","AR","Apr","May","Jun","Jul","Aug","Sep","Oct","CO","Jun","Jul","Aug","Sep","Oct","KY","Jun","Jul","Aug","Sep","Oct","NM","All","OH","May","Jun","Jul","Aug","Sep","TN","All",,,,,,,,,,,,,,,,,,,,
24,"Parsnips","AR","Nov","Dec","Jan","Feb","Mar","CO","Sep","Oct","Nov","KY","Oct","Nov","MN","Apr","May","Oct","Nov","NM","Sep","Oct","Nov","Dec","OH","Apr","May","Sep","Oct","TN","Oct","Nov","Dec",,,,,,,,,,,,,,,,,,
26,"Peanuts","AR","May","Jun","Jul","Aug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Plums","AR","Jul","Aug","CO","Aug","NM","Jun","Jul","Aug","Sep","OH","Jul","Aug","TX","May","Jul","Aug","Sep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Sage","AR","Apr","May","Jun","Jul","Aug","Sep","Oct","NM","All","TN","All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Valerian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
